ID	分類	想定される複雑性	テスト方法（複雑性をテストデータでどう表現したか）	テスト結果評価A	結果の根拠A	テスト結果評価B	結果の根拠B
E-11	財務モデル（Excel）	ファイルが重く、分割して送られてきて計算式のリンクが途切れている	Bのみ：デットスケジュールのシートを本体から削除して別ファイルに切り出し、本体側の支払利息7セルをリンク切れ（#REF!）の状態にした。Aはリンク切れ0件	対象外	Aには意図的に0件（出たら誤検知という設計）	◎	出力：確認事項①（重要度：高）「別ファイルのデットスケジュールに支払利息（FY27 135,850千円〜FY33 28,600千円）が算定されているが、これが参照先であったかの確証は資料からは得られない」。そのうえで復元値を財務情報に計上しストレス試算のDSCR計算にも反映。／評価：壊れを検知して人に確認し、かつ別ファイルから正しい値を復元して後工程まで通している。復元値が正しいと断定していない点も適切（下駄あり）
E-12	財務モデル（Excel）	ケース切替がプルダウン式（前提条件の集約シートあり）	A・Bとも未実装（当初からスコープ外）	未実施	テストデータCで実装予定	未実施	テストデータCで実装予定
P-1	DD資料（PDF）	ページ数が多く、表が多い	Aは統合版DD1冊73ページ・図表68点／Bは事業20・財務36・法務14・税務10の計80ページ	△	出力：多数の引用はすべて正確だが、明示されているのに拾えなかった箇所が2件（正常収益力EBITDAを「記載なし」と判断／FCF実績を独自の概算値で表示）。／評価：AIの読み取りに原因があるが、探し方の指示を足せば解消する範囲。PDF全文読み込みと探索指示の追加で改修済み	◎	出力：出典を「事業DD第5章」「財務DD 8.3節」「法務DD第4章3項」と節番号まで特定して引用。正解表と照合できた引用（正常収益力EBITDA、未払残業代300百万円、感応度分析ほか）はすべて正確。／評価：全ページを走査し、表と本文の双方から正確に引用できている
P-2	DD資料（PDF）	計画の前提条件があちこちの章に散らばっている	稼働率・単価改定・採用単価などの前提を、意図的に複数の章（3章以上）に分散して記載	◎	出力：章を横断して統合。単価改定は「2章の実績+1.8〜2.0%」と「9章の計画+1.0%」を突き合わせて保守的と評価。法定福利費率の改定が計画に未反映である点まで指摘。／評価：見落としなし	◎	出力：ストレス仮説の中で「事業DD第5章のとおりCPAは年率5%超で上昇」「FY27の法定福利費率改定（+0.2pt・約△25百万円/年）」「単価改定は事業DD6.3のとおり転嫁に最大6ヶ月の遅れ」と3箇所を統合。／評価：前提が1箇所にまとまっていなくても、章をまたいで集約できている
P-3	DD資料（PDF）	入り組んだ表がある（多段・脚注参照）	Bのみ：財務DDに、報告EBITDA→(+)一過性費用→(−)役員報酬適正化→正常収益力EBITDAと積み上がる多段の調整表を脚注付きで用意。Aには多段表を入れていない	対象外	Aには意図的に0件（出たら誤検知という設計）	◎	出力：正常収益力EBITDA（FY24 1,327／FY25 1,484／FY26 1,620百万円）と報告ベースEBITDA（FY24 1,320.864／FY25 1,486.106）を別々の系列として保持。／評価：多段の調整表を読み切っている。調整の差（+6.1／△2.1）まで再現しており、名前が似た項目を機械的に一致させたのではない（下駄あり）
P-4	DD資料（PDF）	報告書が複数の分冊に分かれている	Bのみ：DDを事業・財務・法務・税務の4冊に分割。Aは統合版1冊	対象外	Aには意図的に0件（出たら誤検知という設計）	◎	出力：確認事項⑦で「調査基準日は2026年5月31日（事業DD発行6月20日、税務DD6月24日、法務DD6月25日、財務DD6月27日）」と4冊の発行日を個別に列挙。4冊すべてを根拠として使用。／評価：分冊を個別の資料として認識しており、分冊化による情報の取りこぼしがない
P-5	DD資料（PDF）	分冊同士が互いを参照し合っている	Bのみ：事業DDから法務DDへ、財務DDから法務DDへ、といった相互参照を複数箇所に仕込んだ。Aの統合DDは他分冊参照0件	対象外	Aには意図的に0件（出たら誤検知という設計）	◎	出力：ストレス仮説Cが法務DDと財務DDの記述を突き合わせて構成。別の仮説では事業DD＋財務DD＋デットスケジュールの3資料を結合。／評価：参照先をたどって、複数の分冊にまたがる情報を1つの論点にまとめられている
P-6	DD資料（PDF）	三表に載らないリスク情報が文中にだけ書かれている	Bのみ：法務DD12ページ目に「未払残業代に係る潜在債務 最大300百万円」を本文の文章としてのみ記載（数表には出さず、数字だけ拾うと見落とす設計）。Aは簿外リスクの記載0件	対象外	Aには意図的に0件（出たら誤検知という設計）	◎	出力：「未払残業代の潜在債務（最大額）300」を独立した数値項目として計上。原因（コーディネーター約80名の固定残業代制度の運用不備）も把握し、ストレス仮説で税引後負担207百万円・手元流動性2.1→1.8ヶ月・エスクロー150〜300百万円の対策まで展開。／評価：数表にない文章を検知し、数値項目に構造化し、返済能力への影響まで展開している。指示文に「簿外」「偶発債務」の記載はなく下駄なし
EP-1	資料間（Excel×DD）	同じものが資料ごとに違う名前で呼ばれている	Bのみ：E-7で変えた6つの科目名が、そのままExcelとDDの間の呼び名の不一致になる（修正EBITDA↔正常収益力EBITDAほか）。AはExcelとDDの科目名不一致0件	対象外	Aには意図的に0件（出たら誤検知という設計）	○	出力：確認事項⑥で「現行モデルの修正EBITDA／旧版シートのAdj. EBITDA／財務DDのEBITDA（報告ベース）・正常収益力EBITDA」の4表記を整理し、定義（営業利益＋減価償却費）の一致を確認したうえで「修正EBITDA＝報告ベースEBITDAとして名寄せ、正常収益力EBITDAは別項目として区分」と明記。／評価：扱われた3概念では、同じものと別のものを定義と数値の一致で判定して分けている。FY24・FY25で値が違うことが区分の根拠であり機械的な同名一致ではない。ただしBSの3科目は抽出対象外で未検証（E-7と同一原因・AI起因ではない）
EP-2	資料間（Excel×DD）	資料ごとに単位が違う	Bのみ：Excelは千円、DD4分冊は百万円、月次は単位表示なしの円という3つの単位系を混在させた。Aは統合DDを千円で統一しExcelと完全一致（不一致0件）	対象外	Aには意図的に0件（出たら誤検知という設計）	◎	出力：冒頭に「金額はいずれも千円建て資料の値を1,000で割って百万円に換算しています」と明記。個別項目も「12,000,000千円を1,000で割り12,000百万円に換算。財務DD30ページの記載と一致」と換算過程を出典に記載。／評価：3つの単位系すべてを識別し、換算過程を残したうえで相手資料と突合している。混同はゼロ
EP-3	資料間（Excel×DD）	資料間で数字が食い違っており、どちらが正か判断が要る	Bのみ：実質的な食い違いを2件仕込んだ。①のれん想定額：モデル5,500百万円 vs 財務DD試算5,280百万円（220百万円差）②スポンサー提示EBITDA 1,585百万円 vs 確定値1,620百万円。Aは数値の食い違い0件	対象外	Aには意図的に0件（出たら誤検知という設計）	◎	出力：確認事項②（重要度：高）「差異の内訳は株式取得対価の想定（モデル11,520百万円／DD試算11,300百万円）にあり、取引費用の取扱いと無形資産の評価前提の相違が主因。修正純資産6,020百万円は両者共通」。画面上も⚠不整合バッジを表示。／評価：どちらか一方に寄せず両方を残し、差異の中身まで分解して人に確認している。勝手な採否をしていない（下駄あり）
EP-4	資料間（Excel×DD）	丸めや作成時点の違いで数字が少しズレる	Bのみ：実質的な食い違いではない軽微なズレを2件仕込んだ。①Excel 13,363,127千円 vs DD「13,363百万円」（丸め差127千円）②作業用シートに残った古いのれん試算（作成時点の違い）。Aは千円表記で統一し丸め差を排除	対象外	Aには意図的に0件（出たら誤検知という設計）	◎	出力：FY25売上を13,363.127百万円と原数値のまま保持（DD表記に丸めていない）。一方で時点の違いは確認事項⑦「財務DDが参照した財務モデルが現行のVer.4.0と同一版かは資料からは判別できない」として提起。／評価：丸め差は騒がず整合として扱い、時点差は確認に上げている。EP-3との区別ができている。※この項目のみ期待動作の定義が正解表と二重になっており要確定
参考1	マトリクス外	符号の書き方（費用・返済がマイナス表記）	費用・返済・支払利息を実務モデル標準のマイナス表記＋縦計にした（期待動作＝自動処理）	未評価	採点対象外	◎	出力：「販管費は負値で保持」「営業利益＝売上総利益＋販管費合計（加算式）」と表現し、抽出値は全期正解。／評価：符号を反転させる誤りがない
参考2	マトリクス外	入力セルの色分け（青字＝入力・黒字＝数式）	青字＝入力・黒字＝数式という実務の慣習を表紙で宣言（期待動作＝自動処理）	未評価	採点対象外	◎	出力：各項目を「入力値（毎期105〜150名増の直接入力）」と「＝計算シート◯◯＝数式」に分類。／評価：入力と計算の区別が出力に反映されている（ただし色情報はAIに渡っておらず、数式の有無から判断したとみられる）
